company_name,sector,industry,careers_url,typical_roles,tier
Bank of England,Financial Services,Central Bank / Regulator,https://bankofengland.wd3.myworkdayjobs.com/BoE_Careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Financial Conduct Authority (FCA),Financial Services,Financial Regulator,https://fca.wd3.myworkdayjobs.com/FCA,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Lloyds Banking Group,Financial Services,Banking,https://www.lloydsbankinggroup.com/careers.html,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Barclays,Financial Services,Banking,https://search.jobs.barclays/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
HSBC,Financial Services,Banking,https://www.hsbc.com/careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
NatWest Group,Financial Services,Banking,https://jobs.natwestgroup.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Santander UK,Financial Services,Banking,https://www.santanderjobs.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Nationwide Building Society,Financial Services,Banking / Building Society,https://www.nationwide-jobs.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Standard Chartered,Financial Services,Banking,https://www.sc.com/en/careers/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
JPMorganChase,Financial Services,Banking / Markets,https://careers.jpmorgan.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,top100
Goldman Sachs,Financial Services,Banking / Markets,https://higher.gs.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Citi,Financial Services,Banking / Markets,https://jobs.citi.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Morgan Stanley,Financial Services,Banking / Markets,https://www.morganstanley.com/people-opportunities,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Deutsche Bank,Financial Services,Banking / Markets,https://careers.db.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
UBS,Financial Services,Banking / Wealth Management,https://www.ubs.com/global/en/careers.html,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
BNP Paribas,Financial Services,Banking / Markets,https://group.bnpparibas/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Capital One UK,Financial Services,Consumer Finance,https://www.capitalonecareers.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
American Express,Financial Services,Payments / Consumer Finance,https://www.americanexpress.com/en-us/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
London Stock Exchange Group (LSEG),Financial Services,Market Data / Infrastructure,https://www.lseg.com/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,top100
Experian,Financial Services,Credit Data / Analytics,https://jobs.experian.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Equifax,Financial Services,Credit Data / Analytics,https://careers.equifax.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
TransUnion,Financial Services,Credit Data / Analytics,https://www.transunion.co.uk/careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Visa,Financial Services,Payments Technology,https://jobs.visa.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Mastercard,Financial Services,Payments Technology,https://careers.mastercard.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
PayPal,Financial Services,Payments / FinTech,https://paypal.eightfold.ai/careers,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
Global Payments / Worldpay,Financial Services,Payments Technology,https://jobs.worldpay.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
BlackRock,Financial Services,Asset Management,https://careers.blackrock.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Legal & General,Financial Services,Insurance / Asset Management,https://careers.legalandgeneral.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Schroders,Financial Services,Asset Management,https://www.schroders.com/en/global/careers/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Fidelity International,Financial Services,Asset Management,https://careers.fidelityinternational.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Aviva,Financial Services,Insurance / Asset Management,https://careers.aviva.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,top100
M&G,Financial Services,Asset Management / Insurance,https://www.mandg.com/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
S&P Global,Financial Services,Financial Data / Ratings,https://www.spglobal.com/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Fitch Ratings,Financial Services,Financial Data / Ratings,https://www.fitch.group/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Monzo,Financial Services,Digital Bank,https://monzo.com/careers,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Revolut,Financial Services,Digital Bank / FinTech,https://www.revolut.com/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Wise,Financial Services,Payments / FinTech,https://wise.jobs/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Starling Bank,Financial Services,Digital Bank,https://www.starlingbank.com/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
Google,Technology & Telecoms,Technology,https://www.google.com/about/careers/applications/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Google DeepMind,Technology & Telecoms,AI Research,https://deepmind.google/careers/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Microsoft,Technology & Telecoms,Technology / Cloud / AI,https://careers.microsoft.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Amazon / AWS,Technology & Telecoms,Technology / Cloud / E-commerce,https://www.amazon.jobs/en/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Meta,Technology & Telecoms,Technology / AI,https://www.metacareers.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Apple,Technology & Telecoms,Technology,https://jobs.apple.com/en-gb/search,Data Science; Applied AI/ML; AI Engineering; Product Analytics,master
IBM,Technology & Telecoms,Technology / Consulting / AI,https://www.ibm.com/careers,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Oracle,Technology & Telecoms,Enterprise Software / Cloud,https://www.oracle.com/uk/careers/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Salesforce,Technology & Telecoms,Enterprise Software / AI,https://careers.salesforce.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
SAP,Technology & Telecoms,Enterprise Software / Data,https://jobs.sap.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
NVIDIA,Technology & Telecoms,AI / Semiconductors,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Adobe,Technology & Telecoms,Software / AI,https://careers.adobe.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Databricks,Technology & Telecoms,Data / AI Platform,https://www.databricks.com/company/careers,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Snowflake,Technology & Telecoms,Cloud Data Platform,https://careers.snowflake.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
ServiceNow,Technology & Telecoms,Enterprise Software / AI,https://careers.servicenow.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Cisco,Technology & Telecoms,Networking / Security / AI,https://jobs.cisco.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,master
Arm,Technology & Telecoms,Semiconductors,https://careers.arm.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,master
TikTok,Technology & Telecoms,Consumer Technology / AI,https://careers.tiktok.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,master
BT Group,Technology & Telecoms,Telecommunications,https://www.bt.com/careers,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
VodafoneThree,Technology & Telecoms,Telecommunications,https://www.vodafonethree.com/careers/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Virgin Media O2,Technology & Telecoms,Telecommunications,https://careers.virginmediao2.co.uk/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,master
Accenture,Consulting & IT Services,Consulting / Technology Services,https://www.accenture.com/gb-en/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Deloitte,Consulting & IT Services,Professional Services,https://apply.deloitte.co.uk/,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
PwC,Consulting & IT Services,Professional Services,https://www.pwc.co.uk/careers.html,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
EY,Consulting & IT Services,Professional Services,https://www.ey.com/en_uk/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
KPMG,Consulting & IT Services,Professional Services,https://kpmgcareers.co.uk/,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Capgemini,Consulting & IT Services,Consulting / Technology Services,https://www.capgemini.com/gb-en/careers/,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Cognizant,Consulting & IT Services,Technology Services,https://careers.cognizant.com/global/en,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Tata Consultancy Services,Consulting & IT Services,Technology Services,https://www.tcs.com/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Infosys,Consulting & IT Services,Technology Services,https://www.infosys.com/careers/,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,top100
Wipro,Consulting & IT Services,Technology Services,https://careers.wipro.com/,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,master
HCLTech,Consulting & IT Services,Technology Services,https://www.hcltech.com/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,master
CGI,Consulting & IT Services,Consulting / Technology Services,https://www.cgi.com/uk/en-gb/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,master
NTT DATA,Consulting & IT Services,Consulting / Technology Services,https://uk.nttdata.com/careers,Data & AI Consulting; Data Science; BI/Analytics; ML Engineering,master
Tesco,"Retail, Consumer & Media",Retail / Grocery,https://www.tesco-careers.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,top100
Ocado Group,"Retail, Consumer & Media",Retail Technology / E-commerce,https://careers.ocadogroup.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,top100
Marks & Spencer,"Retail, Consumer & Media",Retail,https://jobs.marksandspencer.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
John Lewis Partnership,"Retail, Consumer & Media",Retail,https://www.jlpjobs.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Kingfisher,"Retail, Consumer & Media",Retail / Home Improvement,https://www.kingfisher.com/en/careers.html,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Unilever,"Retail, Consumer & Media",FMCG / Consumer Goods,https://careers.unilever.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,top100
Procter & Gamble,"Retail, Consumer & Media",FMCG / Consumer Goods,https://www.pgcareers.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Mars,"Retail, Consumer & Media",FMCG / Consumer Goods,https://careers.mars.com/global/en,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Nestlé,"Retail, Consumer & Media",FMCG / Consumer Goods,https://www.nestle.co.uk/en-gb/jobs,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Diageo,"Retail, Consumer & Media",FMCG / Consumer Goods,https://www.diageo.com/en/careers,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
NielsenIQ,"Retail, Consumer & Media",Retail Data / Analytics,https://nielseniq.com/global/en/careers/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,top100
AXA UK,"Insurance, Health & Pharma",Insurance,https://careers.axa.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Allianz,"Insurance, Health & Pharma",Insurance,https://careers.allianz.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Zurich Insurance,"Insurance, Health & Pharma",Insurance,https://www.zurich.co.uk/careers,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Direct Line Group,"Insurance, Health & Pharma",Insurance,https://careers.directlinegroup.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Admiral Group,"Insurance, Health & Pharma",Insurance,https://www.admiraljobs.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Aon,"Insurance, Health & Pharma",Insurance / Risk Consulting,https://jobs.aon.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Marsh McLennan,"Insurance, Health & Pharma",Insurance / Risk Consulting,https://careers.marshmclennan.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
WTW,"Insurance, Health & Pharma",Insurance / Risk Consulting,https://careers.wtwco.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Bupa,"Insurance, Health & Pharma",Healthcare / Insurance,https://careers.bupa.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
IQVIA,"Insurance, Health & Pharma",Healthcare Data / Analytics,https://jobs.iqvia.com/,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,top100
GSK,"Insurance, Health & Pharma",Pharmaceuticals,https://jobs.gsk.com/,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,top100
AstraZeneca,"Insurance, Health & Pharma",Pharmaceuticals,https://careers.astrazeneca.com/,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,top100
Pfizer,"Insurance, Health & Pharma",Pharmaceuticals,https://www.pfizer.com/about/careers,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,master
Roche,"Insurance, Health & Pharma",Pharmaceuticals / Diagnostics,https://careers.roche.com/global/en,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,master
Novartis,"Insurance, Health & Pharma",Pharmaceuticals,https://www.novartis.com/careers,Data Science; AI/ML; Real-world Evidence; Bioinformatics Analytics,master
bp,"Energy, Transport & Industrial",Energy,https://careers.bp.com/,Data Science; Forecasting; Operational/Asset Analytics; AI,top100
Shell,"Energy, Transport & Industrial",Energy,https://www.shell.com/careers.html,Data Science; Forecasting; Operational/Asset Analytics; AI,top100
National Grid,"Energy, Transport & Industrial",Energy / Utilities,https://jobs.nationalgrid.com/UK/,Data Science; Forecasting; Operational/Asset Analytics; AI,top100
Centrica,"Energy, Transport & Industrial",Energy / Utilities,https://careers.centrica.com/,Data Science; Forecasting; Operational/Asset Analytics; AI,master
EDF Energy,"Energy, Transport & Industrial",Energy / Utilities,https://careers.edfenergy.com/,Data Science; Forecasting; Operational/Asset Analytics; AI,master
SSE,"Energy, Transport & Industrial",Energy / Utilities,https://careers.sse.com/,Data Science; Forecasting; Operational/Asset Analytics; AI,master
ScottishPower,"Energy, Transport & Industrial",Energy / Utilities,https://www.scottishpower.com/pages/careers.aspx,Data Science; Forecasting; Operational/Asset Analytics; AI,master
Severn Trent,"Energy, Transport & Industrial",Water / Utilities,https://www.careers.severntrent.com/,Data Science; Forecasting; Operational/Asset Analytics; AI,top100
United Utilities,"Energy, Transport & Industrial",Water / Utilities,https://www.unitedutilities.com/corporate/careers/,Data Science; Forecasting; Operational/Asset Analytics; AI,top100
Jaguar Land Rover,"Energy, Transport & Industrial",Automotive,https://www.jaguarlandrovercareers.com/,Data Science; Predictive Maintenance; Operational Analytics; AI,top100
BAE Systems,"Energy, Transport & Industrial",Defence / Aerospace,https://jobsearch.baesystems.com/,Data Science; Predictive Maintenance; Operational Analytics; AI,master
Airbus,"Energy, Transport & Industrial",Aerospace,https://www.airbus.com/en/careers,Data Science; Predictive Maintenance; Operational Analytics; AI,master
Siemens,"Energy, Transport & Industrial",Engineering / Technology,https://jobs.siemens.com/careers,Data Science; Predictive Maintenance; Operational Analytics; AI,master
Network Rail,"Energy, Transport & Industrial",Rail / Infrastructure,https://www.networkrail.co.uk/careers/,Data Science; Forecasting; Operational/Asset Analytics; AI,master
Transport for London,"Energy, Transport & Industrial",Transport / Public Infrastructure,https://tfl.gov.uk/corporate/careers/,Data Science; Forecasting; Operational/Asset Analytics; AI,master
British Airways,"Energy, Transport & Industrial",Aviation,https://careers.ba.com/,Customer/Product Analytics; Forecasting; Pricing; Marketing Science,master
Civil Service Jobs,Government & Public Sector,National Government Job Portal,https://www.civilservicejobs.service.gov.uk/csr/index.cgi,Data Science; Statistics; Operational Research; Data Analysis,top100
Office for National Statistics,Government & Public Sector,Statistics / Government,https://careers.ons.gov.uk/,Data Science; Statistics; Operational Research; Data Analysis,top100
HM Revenue & Customs,Government & Public Sector,Government,https://www.civil-service-careers.gov.uk/departments/working-for-hm-revenue-and-customs/,Data Science; Statistics; Operational Research; Data Analysis,master
Department for Work and Pensions,Government & Public Sector,Government / Digital,https://careers.dwp.gov.uk/,Data Science; Statistics; Operational Research; Data Analysis,top100
Home Office,Government & Public Sector,Government / Digital,https://careers.homeoffice.gov.uk/professions/digital-and-data/,Data Science; Statistics; Operational Research; Data Analysis,master
UK Health Security Agency,Government & Public Sector,Public Health / Government,https://www.civil-service-careers.gov.uk/departments/working-for-the-uk-health-security-agency/,Data Science; Statistics; Operational Research; Data Analysis,master
Ofgem,Government & Public Sector,Energy Regulator,https://www.ofgem.gov.uk/about-us/careers-ofgem,Data Science; Statistics; Operational Research; Data Analysis,master
Met Office,Government & Public Sector,Weather / Climate / Government,https://careers.metoffice.gov.uk/,Data Science; Statistics; Operational Research; Data Analysis,master
NHS Jobs / NHS England,Government & Public Sector,National Healthcare Job Portal,https://www.jobs.nhs.uk/,Data Science; Statistics; Operational Research; Data Analysis,top100
Prudential Regulation Authority,Government & Public Sector,Financial Regulator,https://bankofengland.wd3.myworkdayjobs.com/BoE_Careers,,master
Hiscox,"Insurance, Health & Pharma",Insurance,https://www.google.com/search?q=hiscox+careers+data+scientist+UK,,master
Beazley,"Insurance, Health & Pharma",Insurance,https://www.beazley.com/en-GB/careers,,master
Munich Re,"Insurance, Health & Pharma",Reinsurance,https://www.munichre.com/en/career.html,,master
Swiss Re,"Insurance, Health & Pharma",Reinsurance,https://www.swissre.com/careers.html,,master
Smith & Nephew,"Insurance, Health & Pharma",MedTech; Medical Technology,https://www.smith-nephew.com/en/careers,,master
Haleon,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=Haleon+careers+data+analyst+data+scientist+UK,,master
Dunnhumby,"Retail, Consumer & Media",Customer analytics / MMM,https://www.dunnhumby.com/careers/,,master
Kantar,"Retail, Consumer & Media",MMM / insights,https://www.kantar.com/careers,,master
GfK,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=GfK+careers+data+analyst+data+scientist+UK,,master
Ipsos,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=Ipsos+careers+data+analyst+data+scientist+UK,,master
YouGov,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=YouGov+careers+data+analyst+data+scientist+UK,,master
Trainline,"Energy, Transport & Industrial",Travel E-commerce; Product analytics / ML,https://www.thetrainline.com/careers,,master
Deliveroo,"Retail, Consumer & Media",Food Tech,https://careers.deliveroo.co.uk/,,master
Just Eat UK,"Retail, Consumer & Media",Food Tech,https://www.google.com/search?q=just+eat+uk+careers+data+scientist+UK,,master
Rightmove,"Energy, Transport & Industrial",Property Tech,https://plc.rightmove.co.uk/careers/,,master
Zoopla,"Energy, Transport & Industrial",Property Tech,https://careers.zoopla.co.uk/,,master
Auto Trader,"Energy, Transport & Industrial",Automotive Marketplace,https://careers.autotrader.co.uk/,,master
MoneySuperMarket Group,"Retail, Consumer & Media",Price Comparison / FinTech,https://www.moneysupermarketgroup.com/careers/,,master
Compare the Market,"Retail, Consumer & Media",Price Comparison,https://www.comparethemarket.com/careers/,,master
eBay,"Retail, Consumer & Media",Marketplace,https://jobs.ebayinc.com/,,master
Expedia UK,Technology & Telecoms,Tech,https://careers.expediagroup.com/,,master
Wayfair,"Retail, Consumer & Media",E-commerce,https://www.wayfair.com/careers,,master
Depop,"Retail, Consumer & Media",Marketplace,https://www.depop.com/careers/,,master
Farfetch,"Retail, Consumer & Media",Luxury E-commerce,https://www.google.com/search?q=farfetch+careers+data+scientist+UK,,master
Gousto,"Retail, Consumer & Media",Food Tech,https://www.google.com/search?q=gousto+careers+data+scientist+UK,,master
Sky UK,Technology & Telecoms,Telecom,https://www.google.com/search?q=sky+uk+careers+data+scientist+UK,,master
BBC,"Retail, Consumer & Media",Media,https://careers.bbc.co.uk/,,master
ITV,"Retail, Consumer & Media",Media,https://www.itvjobs.com/,,master
Channel 4,"Retail, Consumer & Media",Media,https://careers.channel4.com/,,master
Financial Times,"Retail, Consumer & Media",Media / Data,https://aboutus.ft.com/careers,,master
National Data Guardian,Government & Public Sector,Government / Public Sector,https://www.civilservicejobs.service.gov.uk/csr/index.cgi,,master
Pearson,Consulting & IT Services,Education / Publishing,https://plc.pearson.com/en-GB/careers,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer; Data Consultant; Power BI Developer,master
RELX,"Retail, Consumer & Media",Information / Data; Data science / analytics,https://www.relx.com/careers,,master
Informa,"Retail, Consumer & Media",Events / Data,https://www.informa.com/careers/,,master
Reach plc,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=Reach+plc+careers+data+analyst+data+scientist+UK,,master
Bauer Media,"Retail, Consumer & Media",Retail / FMCG / Marketing Analytics,https://www.google.com/search?q=Bauer+Media+careers+data+analyst+data+scientist+UK,,master
Morrisons,"Retail, Consumer & Media",Retail,https://www.morrisons.jobs/,,master
ASDA,"Retail, Consumer & Media",Retail,https://www.asda.jobs/,,master
Waitrose,"Retail, Consumer & Media",Retail,https://www.jlpjobs.com/waitrose,,master
